Record_Number	Date	Agent_Name	Customer_Name	Family_Size	Province	Sales_Amount
11153	2024-08-27	Olufemi	Lisa Estrada	5	Manitoba	3136
11154	2024-08-27	Patricia	Troy Case	6	Newfoundland and Labrador	4442
11155	2024-08-27	Kenneth	Joshua Wright	4	New Brunswick	3987
11156	2024-08-27	Patricia	Shawn Barber	4	Newfoundland and Labrador	1935
11157	2024-08-28	Gloria	Adam Bradley	7	Nova Scotia	4493
11158	2024-08-28	Kenneth	Ryan Carter	6	Saskatchewan	3608
11159	2024-08-28	Gloria	Debra Nelson	5	Nova Scotia	4404
11160	2024-08-28	Kenneth	Kelly Alexander	3	British Columbia	4354
11161	2024-08-28	Anith	Lynn Robinson	3	Nova Scotia	3930
11162	2024-08-28	David	Faith Lewis	2	Nova Scotia	3635
11163	2024-08-28	Joy	Tina Carlson	7	Alberta	2771
11164	2024-08-28	David	Ethan Wagner	4	Saskatchewan	2861
11165	2024-08-28	Olufemi	Kelsey Ray	3	Quebec	2239
11166	2024-08-28	Gloria	Ryan Estrada	5	Prince Edward Island	1369
11167	2024-08-29	Anith	Vanessa Holland	3	Nova Scotia	1374
11168	2024-08-29	Olufemi	Larry Hunter	4	Manitoba	4221
11169	2024-08-29	Gloria	Tina Smith	5	New Brunswick	4019
11170	2024-08-29	David	Christopher Gardner	6	British Columbia	1046
11171	2024-08-29	Gloria	Carl Simpson	5	Ontario	3959
11172	2024-08-29	David	Katherine Holland	4	Alberta	3112
11173	2024-08-30	Olufemi	Jamie Ortiz	3	Ontario	3777
11174	2024-08-30	Anith	Terri Lopez	5	New Brunswick	3284
11175	2024-08-30	Patricia	Matthew Robinson	3	Alberta	3009
11176	2024-08-30	Olufemi	Carlos Hatfield	2	Quebec	1645
11177	2024-08-30	Olufemi	Kimberly Bowen	3	Ontario	3411
11178	2024-08-30	Joy	Nicholas Miller	6	Manitoba	1925
11179	2024-08-30	Gloria	Melvin Brown	3	Saskatchewan	2202
11180	2024-08-30	Kenneth	David Jackson	5	Nova Scotia	3359
11181	2024-08-30	Joy	Julie Kerr	7	New Brunswick	1959
11182	2024-08-31	Gloria	Daniel Phillips	2	Saskatchewan	2569
11183	2024-08-31	Gloria	Joseph Murray	5	Nova Scotia	4642
11184	2024-08-31	Patricia	David Lee	4	Newfoundland and Labrador	3755
11185	2024-08-31	Gloria	Brian Brown	2	Prince Edward Island	3135
11186	2024-08-31	Patricia	Karen Wagner	2	Nova Scotia	3634
11187	2024-08-31	Anith	Rachael Smith	4	Newfoundland and Labrador	2570
11188	2024-08-31	Kenneth	Zachary Willis	2	Newfoundland and Labrador	2451
11189	2024-09-01	Anith	Ian Tucker	2	British Columbia	3877
11190	2024-09-01	Kenneth	Timothy Greene	6	New Brunswick	4423
11191	2024-09-01	Kenneth	Steven Patel	4	Newfoundland and Labrador	1291
11192	2024-09-02	Olufemi	Robert Weaver	2	Nova Scotia	4697
